Current (mA),Voltage (V),Light (mW)
1565.697,4.5399,5450
1569.992,4.5422,5470
1575.874,4.5447,5490
1580.948,4.5467,5510
1585.693,4.5487,5530
1590.508,4.551,5550
1595.947,4.5533,5570
1600.426,4.5552,5590
1605.507,4.5576,5610
1611,4.5599,5630
1615.555,4.5616,5650
1620.628,4.5641,5670
1626.541,4.5664,5690
1630.76,4.5684,5710
1635.109,4.5704,5730
1640.755,4.5729,5750
1645.103,4.5748,5770
1650.497,4.5769,5790
1656.25,4.5792,5810
1660.545,4.5809,5830
1665.077,4.5828,5850
1670.959,4.5853,5870
1676.27,4.5872,5890
1680.206,4.589,5910
1686.035,4.5913,5930
1690.804,4.5933,5950
1695.251,4.5952,5970
1701.088,4.5976,5990
1705.925,4.5995,6010
1710.617,4.6016,6030
1716.24,4.6036,6050
1720.825,4.6053,6070
1725.22,4.6077,6090
1731.003,4.6098,6110
1735.092,4.6114,6130
1740.715,4.6135,6150
1745.872,4.6156,6170
1750.084,4.6174,6190
1755.272,4.6196,6210
1760.948,4.6215,6230
1765.213,4.6236,6250
1770.943,4.6258,6270
1775.345,4.6273,6290
1780.235,4.6296,6310
1785.835,4.6315,6330
1790.573,4.6333,6350
1795.494,4.6354,6370
1800.964,4.6372,6390
1805.336,4.6388,6410
1810.31,4.6412,6430
1815.91,4.6428,6450
1820.076,4.645,6470
1826.035,4.6469,6490
1830.673,4.6487,6510
1834.991,4.6506,6530
1841.164,4.6524,6550
1845.07,4.6542,6570
1850.54,4.6563,6590
1855.957,4.658,6610
1860.092,4.6597,6630
1865.433,4.6617,6650
1869.911,4.6636,6670
1875.534,4.6656,6690
1880.791,4.6673,6710
1885.216,4.6689,6730
1890.373,4.671,6750
1895.866,4.6728,6770
1900.162,4.6743,6790
1905.319,4.6767,6810
1911.018,4.6783,6830
1915.474,4.68,6850
1919.952,4.682,6870
1925.316,4.6838,6890
1930.573,4.6854,6910
1934.792,4.6872,6930
1940.208,4.6887,6950
1945.862,4.6909,6970
1949.867,4.6926,6990
1955.574,4.6941,7010
1960.335,4.6961,7030
1965.179,4.6974,7050
1970.413,4.6996,7070
1975.906,4.7012,7090
1979.942,4.703,7110
1985.512,4.705,7130
1990.646,4.7065,7150
1994.759,4.7083,7170
2000.9,4.71,7190
2004.784,4.7115,7210
2011.002,4.7136,7230
2015.251,4.7149,7250
2020.012,4.7169,7270
2025.764,4.7185,7290
2030.373,4.7201,7310
2034.828,4.7217,7330
2040.321,4.7237,7350
2045.792,4.725,7370
2049.667,4.7267,7390
2055.946,4.7285,7410
2060.524,4.73,7430
2065.002,4.7316,7450
2070.213,4.7335,7470
2075.394,4.7348,7490
2079.948,4.7366,7510
2085.732,4.7384,7530
2090.576,4.7397,7550
2094.894,4.7413,7570
2100.677,4.7431,7590
2105.751,4.7445,7610
2109.634,4.7462,7630
2115.494,4.7479,7650
2120.88,4.7494,7670
2124.863,4.751,7690
2131.187,4.7528,7710
2135.567,4.7541,7730
2139.732,4.7557,7750
2145.798,4.7574,7770
2151.009,4.7589,7790
2155.487,4.7603,7810
2160.065,4.762,7830
2166.054,4.7639,7850
2170.662,4.765,7870
2175.613,4.7667,7890
2181.107,4.7682,7910
2185.585,4.7695,7930
2190.269,4.7713,7950
2196.075,4.7725,7970
2200.264,4.774,7990
2205.551,4.7757,8010
2211.151,4.7773,8030
2215.446,4.7783,8050
2220.657,4.7802,8070
2226.379,4.7816,8090
2230.469,4.783,8110
2235.596,4.7846,8130
2241.325,4.786,8150
2245.308,4.7873,8170
2250.755,4.7891,8190
2256.119,4.7904,8210
2260.674,4.7918,8230
2265.854,4.7936,8250
2271.164,4.7947,8270
2274.94,4.7962,8290
2280.67,4.7978,8310
2286.163,4.7992,8330
2290.092,4.8003,8350
2295.197,4.8022,8370
2301.445,4.8034,8390
2305.611,4.8047,8410
2310.692,4.8063,8430
2316.078,4.8076,8450
2320.168,4.809,8470
2326.469,4.8105,8490
2331.055,4.8119,8510
2335.579,4.8131,8530
2340.736,4.8149,8550
2346.466,4.816,8570
2350.578,4.8174,8590
2355.682,4.8189,8610
2361.511,4.8203,8630
2365.448,4.8215,8650
2370.941,4.8232,8670
2376.068,4.8245,8690
2380.524,4.8256,8710
2385.986,4.8276,8730
2390.938,4.8286,8750
2395.103,4.83,8770
2400.833,4.8317,8790
2405.754,4.8327,8810
2409.943,4.8344,8830
2415.878,4.8358,8850
2420.853,4.837,8870
2425.148,4.8384,8890
2431.267,4.8399,8910
2435.745,4.8411,8930
2440.147,4.8424,8950
2446.548,4.8439,8970
2450.584,4.8449,8990
2455.406,4.8466,9010
2461.525,4.848,9030
2465.691,4.849,9050
2470.665,4.8505,9070
2476.601,4.8518,9090
2480.766,4.8529,9110
2485.191,4.8545,9130
2491.463,4.8558,9150
2495.399,4.8568,9170
2500.732,4.8585,9190
2506.355,4.8597,9210
2509.895,4.8609,9230
2515.732,4.8624,9250
2520.805,4.8635,9270
2524.925,4.8646,9290
2530.83,4.8664,9310
2536.354,4.8673,9330
2540.1,4.8685,9350
2545.723,4.87,9370
2551.27,4.8712,9390
2554.893,4.8726,9410
2560.722,4.8737,9430
2565.491,4.8746,9450
2570.801,4.8762,9470
2575.874,4.8773,9490
2579.468,4.8786,9510
2585.716,4.8799,9530
2591.057,4.881,9550
2595.245,4.8822,9570
2600.456,4.8834,9590
2606.522,4.8849,9610
2610.405,4.8857,9630
2615.219,4.8872,9650
2621.078,4.8884,9670
2624.542,4.8892,9690
2630.737,4.8907,9710
2636.154,4.8918,9730
2639.587,4.893,9750
2645.866,4.8944,9770
2650.703,4.8955,9790
2654.77,4.8966,9810
2661.484,4.898,9830
2665.68,4.899,9850
2670.311,4.9003,9870
2676.407,4.9016,9890
2679.764,4.9026,9910
2685.387,4.904,9930
2691.04,4.905,9950
2694.244,4.9062,9970
2700.905,4.9075,9990
2705.956,4.9085,10010
2709.839,4.9099,10030
2715.538,4.9108,10050
2720.566,4.9122,10070
2724.625,4.9131,10090
2730.82,4.9147,10110
2735.512,4.9156,10130
2739.731,4.9167,10150
2746.262,4.9179,10170
2750.114,4.919,10190
2755.035,4.9203,10210
2761.497,4.9215,10230
2765.297,4.9223,10250
2770.584,4.9236,10270
2775.894,4.9247,10290
2779.671,4.9258,10310
2785.553,4.9272,10330
2790.863,4.9282,10350
2794.662,4.9293,10370
2800.911,4.9306,10390
2805.733,4.9314,10410
2809.792,4.9325,10430
2816.406,4.9336,10450
2820.572,4.9347,10470
2825.05,4.9359,10490
2831.505,4.937,10510
2835.464,4.9379,10530
2840.591,4.9392,10550
2845.566,4.9401,10570
2849.861,4.9411,10590
2856.293,4.9424,10610
2860.588,4.9433,10630
2865.097,4.9447,10650
2871.628,4.9456,10670
2875.092,4.9463,0
2880.875,4.9477,0
2886.421,4.9488,0
2890.038,4.9495,10750
2895.874,4.951,10770
2900.818,4.9518,10790
2904.877,4.9529,10810
2911.156,4.9543,10830
2915.688,4.9549,10850
2920.532,4.9561,10870
2926.025,4.9574,10890
2930.763,4.9582,10910
2935.684,4.9593,10930
2941.643,4.9605,10950
2945.137,4.9612,10970
2950.706,4.9626,10990
2955.994,4.9635,11010
2959.61,4.9646,11030
2965.134,4.9654,11050
2970.909,4.9667,11070
2976.379,4.9678,11090
2980.469,4.9685,11110
2984.947,4.9697,11130
2991.684,4.9708,11150
2995.644,4.972,11170
3000.641,4.9727,11190
3006.035,4.9741,11210
